PointName,point_id,role,region,Id [A],Iq [A],If [A],campaign_id,seed,sample_index
4cae54409e9a5cab,4cae54409e9a5cab,train,boundary,-120.000000000,0.000000000,1.000000000,eesm_task9_real_baseline_20260715,20260710,0
756d155dba272cbe,756d155dba272cbe,train,boundary,-120.000000000,120.000000000,15.000000000,eesm_task9_real_baseline_20260715,20260710,1
3b1091af89281e9c,3b1091af89281e9c,train,boundary,0.000000000,120.000000000,7.500000000,eesm_task9_real_baseline_20260715,20260710,2
8ce30f26cb12bf4a,8ce30f26cb12bf4a,train,boundary,0.000000000,0.000000000,2.000000000,eesm_task9_real_baseline_20260715,20260710,3
ddae84aff9b47948,ddae84aff9b47948,train,field_weakening,-100.000000000,30.000000000,3.000000000,eesm_task9_real_baseline_20260715,20260710,4
5e5488c83e11d283,5e5488c83e11d283,train,field_weakening,-110.000000000,80.000000000,10.000000000,eesm_task9_real_baseline_20260715,20260710,5
9ff583508cf82767,9ff583508cf82767,train,saturation,-30.000000000,110.000000000,14.000000000,eesm_task9_real_baseline_20260715,20260710,6
c0d514fa7069dd49,c0d514fa7069dd49,train,saturation,-70.000000000,100.000000000,13.000000000,eesm_task9_real_baseline_20260715,20260710,7
c2f24eb3ba91922c,c2f24eb3ba91922c,train,saturation,-57.673724000,3.613062000,14.826218000,eesm_task9_real_baseline_20260715,20260710,8
5f63d734a86f034b,5f63d734a86f034b,train,interior,-72.807550000,75.117870000,6.542137000,eesm_task9_real_baseline_20260715,20260710,9
3b5f74d2d3218815,3b5f74d2d3218815,train,saturation,-76.304395000,8.598057000,14.076429000,eesm_task9_real_baseline_20260715,20260710,10
b556af8d9318e036,b556af8d9318e036,train,interior,-62.381083000,64.538153000,9.856546000,eesm_task9_real_baseline_20260715,20260710,11
84cc3bb722841680,84cc3bb722841680,train,saturation,-82.615996000,119.906389000,3.892652000,eesm_task9_real_baseline_20260715,20260710,12
975a2d740af35f38,975a2d740af35f38,train,interior,-20.922906000,41.072289000,9.369163000,eesm_task9_real_baseline_20260715,20260710,13
ccd27358f15ce831,ccd27358f15ce831,train,saturation,-88.091898000,92.371319000,6.052220000,eesm_task9_real_baseline_20260715,20260710,14
c090909e09672536,c090909e09672536,train,interior,-79.987220000,35.488529000,2.293976000,eesm_task9_real_baseline_20260715,20260710,15
03d5e994f6144969,03d5e994f6144969,train,field_weakening,-107.593728000,48.429343000,4.422959000,eesm_task9_real_baseline_20260715,20260710,16
f5e99b32e12d9960,f5e99b32e12d9960,train,field_weakening,-104.198873000,42.034205000,7.387602000,eesm_task9_real_baseline_20260715,20260710,17
6ac2e9341fdface6,6ac2e9341fdface6,train,field_weakening,-100.723748000,21.412622000,5.480098000,eesm_task9_real_baseline_20260715,20260710,18
90822475a1ae88d5,90822475a1ae88d5,train,interior,-42.528828000,96.916372000,9.701227000,eesm_task9_real_baseline_20260715,20260710,19
31bfb10561ce38a2,31bfb10561ce38a2,train,interior,-14.024554000,70.913493000,1.783840000,eesm_task9_real_baseline_20260715,20260710,20
373da0b7ad72b88f,373da0b7ad72b88f,train,interior,-70.792111000,17.060235000,10.475974000,eesm_task9_real_baseline_20260715,20260710,21
064ddb331bc3a64b,064ddb331bc3a64b,train,interior,-25.461161000,24.606495000,3.488960000,eesm_task9_real_baseline_20260715,20260710,22
393f46ee49ba2be6,393f46ee49ba2be6,train,interior,-45.513182000,106.405117000,8.162291000,eesm_task9_real_baseline_20260715,20260710,23
29a96f407a6f7e93,29a96f407a6f7e93,train,interior,-15.247075000,51.415300000,8.818118000,eesm_task9_real_baseline_20260715,20260710,24
0341d9e7d4bdf2a8,0341d9e7d4bdf2a8,train,saturation,-36.924787000,31.552036000,13.403719000,eesm_task9_real_baseline_20260715,20260710,25
f01244cbb210c2a7,f01244cbb210c2a7,train,interior,-93.864891000,72.461944000,11.455061000,eesm_task9_real_baseline_20260715,20260710,26
da4f947b3bf3057b,da4f947b3bf3057b,train,interior,-10.929481000,53.739643000,11.915893000,eesm_task9_real_baseline_20260715,20260710,27
19786cef706c155b,19786cef706c155b,train,saturation,-28.101856000,61.718614000,12.506209000,eesm_task9_real_baseline_20260715,20260710,28
e7cd4f3e78d63b59,e7cd4f3e78d63b59,train,interior,-50.323384000,13.179676000,1.127691000,eesm_task9_real_baseline_20260715,20260710,29
040d61330ff0b359,040d61330ff0b359,train,interior,-65.806222000,80.015992000,10.973862000,eesm_task9_real_baseline_20260715,20260710,30
1af8538caa0cbfbb,1af8538caa0cbfbb,train,field_weakening,-116.828929000,115.196710000,7.011201000,eesm_task9_real_baseline_20260715,20260710,31
81c12dccec357508,81c12dccec357508,train,saturation,-39.797677000,83.876984000,14.051049000,eesm_task9_real_baseline_20260715,20260710,32
84dfceba8ce86168,84dfceba8ce86168,train,interior,-7.410041000,26.819916000,2.894311000,eesm_task9_real_baseline_20260715,20260710,33
9b9892d9b1e90d7f,9b9892d9b1e90d7f,train,interior,-1.948589000,57.056408000,0.496574000,eesm_task9_real_baseline_20260715,20260710,34
8dfe95a81c6d2a18,8dfe95a81c6d2a18,train,saturation,-92.452660000,103.959952000,0.132123000,eesm_task9_real_baseline_20260715,20260710,35
4ff50094a661b25b,4ff50094a661b25b,train,interior,-30.684591000,6.588974000,7.678079000,eesm_task9_real_baseline_20260715,20260710,36
33c59d8bee1f3e8d,33c59d8bee1f3e8d,train,field_weakening,-113.711646000,110.765335000,2.629892000,eesm_task9_real_baseline_20260715,20260710,37
91e4ce9ccfc219e1,91e4ce9ccfc219e1,train,field_weakening,-111.932826000,86.792723000,4.815574000,eesm_task9_real_baseline_20260715,20260710,38
fc578c354c4ee150,fc578c354c4ee150,train,saturation,-54.568804000,97.587781000,12.945325000,eesm_task9_real_baseline_20260715,20260710,39
6855d8908e2169b1,6855d8908e2169b1,selection,boundary,-120.000000000,60.000000000,8.000000000,eesm_task9_real_baseline_20260715,20260711,0
1f08f997ce81954a,1f08f997ce81954a,selection,boundary,-60.000000000,120.000000000,8.000000000,eesm_task9_real_baseline_20260715,20260711,1
d49bd485b1817f08,d49bd485b1817f08,selection,field_weakening,-105.000000000,45.000000000,6.000000000,eesm_task9_real_baseline_20260715,20260711,2
71ecbc9071b1a013,71ecbc9071b1a013,selection,saturation,-35.000000000,105.000000000,13.000000000,eesm_task9_real_baseline_20260715,20260711,3
3182af83c777e346,3182af83c777e346,selection,interior,-63.878460000,89.455252000,4.380428000,eesm_task9_real_baseline_20260715,20260711,4
d2b5adf3fc0172b9,d2b5adf3fc0172b9,selection,saturation,-82.874713000,99.607254000,2.437731000,eesm_task9_real_baseline_20260715,20260711,5
b4ede6f7dc65434a,b4ede6f7dc65434a,selection,saturation,-27.038350000,52.858759000,12.079024000,eesm_task9_real_baseline_20260715,20260711,6
a44610ae438b3b34,a44610ae438b3b34,selection,interior,-13.527963000,69.377164000,10.205227000,eesm_task9_real_baseline_20260715,20260711,7
d032492f89943fc3,d032492f89943fc3,selection,saturation,-57.144461000,106.820539000,13.347092000,eesm_task9_real_baseline_20260715,20260711,8
ed132f3a5dd3fb6f,ed132f3a5dd3fb6f,selection,field_weakening,-97.250534000,30.970264000,1.602471000,eesm_task9_real_baseline_20260715,20260711,9
